Aemonz EQ-Y e1899,,4549.97,-850.56,33732.38
Aemonz WP-X e1-230,,3852.91,-321.16,33901.03
Aemonz WZ-Y e2137,,3857.34,-576.5,33733.88
Aemonz YK-P e5-68,,3865.31,-1287.53,34537.06
Aemorrs CG-O e6-2183,,2312.81,-816.81,34644.41
Aemorrs FB-X e1-3356,,1805.81,-792.78,33828.25
Aemorrs HX-T e3-4455,,1531.47,-409.75,34137.81
Aemorrs HX-T e3-4517,,1470.34,-469.34,34159.25
Aemorrs KW-W e1-4401,,2241.31,-840.41,33926.31
Aemorrs LC-U e3-1611,,2378.97,-295.13,34195.56
Aemorrs LH-V e2-6480,,2063.41,-811.56,34049.97
Aemorrs NX-T e3-9480,,2473.41,-483.72,34163.13
Aemorrs PI-T e3-4299,,1719,-937.59,34218.31
Aemorrs PY-R e4-373,,1737.09,-651.38,34362.47
Aemorrs SD-B e9406,,2004.81,-264.06,33617.88
Aemorrs TO-Z e8424,,1852.53,-26.63,33757.94
Aemorrs UO-R e4-4982,,1919.63,-913.34,34306.13
Aemorrs VE-Q e5-6631,,2105.44,-530.19,34609.75
Aemorrs WZ-Y e1997,,1281.47,-578.41,33680.84
Aemorrs YF-O e6-4580,,1638.47,-745.69,34756.94
Aemorrs YT-A e7696,,2330.06,-594.88,33644.13
Aemorrs ZA-O e6-1760,,1379.84,-942.59,34689.44
Aemost BA-Z e4325,,747.88,-657.78,33705.09
Aemost BK-A e1056,,791.84,-906.13,33524.94
Aemost CA-Z e6673,,901.22,-518.25,33661.28
Aemost DG-O e6-4332,,1182.09,-783.81,34631.75
Aemost DG-O e6-5894,,1214.69,-811.25,34739.38
Aemost EB-O e6-5262,,920.25,-931.72,34694.09
Aemost FR-V e2-1417,,491.41,-389.53,34093
Aemost JN-S e4-7370,,481.63,-114.19,34441.97
Aemost NN-S e4-1763,,1073.84,-106.69,34307.03
Aemost QT-Q e5-7605,,896.72,-87.06,34500.66
Aemost TI-T e3-4789,,1094.03,-893.94,34195.59
Aemost UZ-O e6-8856,,948.63,-42.25,34724.28
Aemost VO-Z e8067,,833.22,-72.25,33778.34
Aemost YJ-Z e7271,,1053.88,-252.81,33780.06
Agnainks DB-O e6-1974,,-1679.38,-936.59,23162.75
Agnainks DB-W e2-1998,,-1714.72,-117.06,22545.97
Agnainks FR-N e6-1202,,-2090.88,-1237.03,23117.19
Agnainks LC-V e2-3268,,-2123.22,-903.91,22534.47
Agnainks PD-B e444,,-2364.16,-231.5,22132.66
Agnainks RY-A e2542,,-2312.03,-490.13,22032.34
Agnainks SO-Z e7536,,-2266.63,-90.56,22138.69
Agnainks TY-A e4340,,-2079.88,-481.47,22113.06
Agnainks WO-Z e425,,-1589.41,-173.59,22268.69
Agnainks XJ-R e4-4478,,-1732.78,-1106.84,22780.38
Agnainks ZZ-Y e634,,-2015.31,-538.09,22247.22
Agnairt BB-O e6-2561,,-9725.78,-830.13,23122.25
Agnairt KW-W e1-5033,,-9299.94,-939.84,22374.16
Agnairt KX-T e3-7476,,-9550.53,-435.69,22686.41
Agnairt LN-T e3-3751,,-10057.41,-670.38,22670.53
Agnairt LN-T e3-550,,-10038.88,-751.47,22657.16
Agnairt OT-R e4-1169,,-10212.19,-775.75,22779.84
Agnairt TP-O e6-5885,,-10127.34,-438.16,23151.81
Agnairt UT-R e4-6827,,-9330.06,-727.09,22842
Agnairt UT-R e4-7266,,-9227.81,-737.47,22800.97
Agnairt VJ-Z e2827,,-9740.66,-266.41,22201.31
Agnairt VZ-P e5-4366,,-9716.16,-685.31,23043.5
Agnairt WO-R e4-3534,,-9306.06,-858.63,22791.53
Agnairt YF-O e6-3128,,-9902.25,-748.44,23108.03
Agnairy DB-X e1-1828,,-3629.09,-723.03,22381.34
Agnairy DG-X e1-4409,,-3318.31,-593.13,22444.31
Agnairy ER-V e2-218,,-3516.38,-430.25,22577.63
Agnairy HW-W e1-1654,,-3330.72,-855.13,22412.28
Agnairy HW-W e1-410,,-3312.16,-913.75,22411.09
Agnairy JH-U e3-2113,,-2713.66,-77.03,22617.5
Agnairy MI-B e1225,,-3805.06,-108.03,22119.53
Agnairy ND-S e4-2877,,-3417.63,-451.84,22810.66
Agnairy VO-R e4-2758,,-2952.81,-869.38,22906.34
Agnairy WZ-Y e8378,,-3844.91,-514.34,22273.97
Agnairy XP-X e1-3006,,-3628.16,-253.53,22321.44
Agnaiz BG-O e6-10131,,-8175.81,-714.63,23145.09
Agnaiz CQ-Y e1624,,-8628.16,-880.38,22144.72
Agnaiz GB-X e1-2062,,-8361.16,-710.88,22341.91
Agnaiz KX-T e3-9500,,-8271.97,-455.91,22714.91
Agnaiz MS-T e3-1543,,-8286.56,-645.72,22680.22
Agnaiz VY-A e5276,,-8177.41,-388.25,21983.84
Agnaiz WE-Z e1533,,-8562.28,-394.38,22261.72
Agnaiz YP-O e6-6058,,-7924.69,-496.47,23193.5
Aiphairns VZ-P e5-33,,-9743.75,574.63,34531.44
Aiphaits BF-R e4-239,,-7746.59,101.5,34325.53
Aiphaits DQ-P e5-1427,,-7840.88,157.41,34587.94
Aiphaits UJ-R e4-2746,,-8676.5,271.22,34436.66
Aiphaits ZP-P e5-207,,-8483.63,280.94,34608.75
Aiphaitt JG-Y e186,,-4323.31,88.06,33808.56
Aiphaitt JW-W e1-1202,,-4256.53,329.38,33957.56
Aiphaitt QX-U e2-1354,,-4127.5,238.81,33979.19
Aiphaitt WJ-A e6622,,-5110.84,436.81,33631.97
Aishaidy OI-T e3-11,,11806.69,412.59,34183.63
Aishaind DL-Y e301,,-3688.44,186.72,33786.19
Aishaind MS-T e3-269,,-3177.88,686,34231.84
Aishaind XJ-A e1332,,-3603.78,375.66,33518.03
Aishaind XJ-A e7812,,-3643.44,382.16,33505.44
Aishaind YE-Z e2264,,-3240.31,791.81,33793.41
Aishaink CA-Z e240,,2244.81,706.63,33810.94
Aishaink DF-A e7897,,2068.37,191.28,33581.25
Aishaink EM-V e2-3704,,1317.13,670.03,33996.22
Aishaink GQ-Y e926,,2240.91,388.09,33807.81
Aishaink IC-U e3-1205,,1864,949.66,34258.56
Aishaink IC-U e3-570,,1917.84,1090.41,34216.53
Aishaink KR-W e1-2829,,1888.31,192.44,33859.81
Aishaink NM-W e1-8923,,2159.59,13.09,33952.25
Aishaink PD-B e3707,,1423.81,951.13,33536.09
Aishaink RE-Q e5-4620,,1390.47,754.66,34519.28
Aishaink SJ-R e4-2451,,1260.78,189.12,34312.50
Aishaink SS-U e2-3779,,2195.94,45.44,34073.94
Aishaink TI-T e3-2702,,2380.59,380.88,34268.91
Aishaink TO-R e4-616,,1788,353.28,34361.81
Aishaink TO-R e4-7249,,1810.75,377.94,34445.03
Aishaink TZ-P e5-77,,1530.72,575.28,34516.75
Aishaink WF-O e6-4609,,1335.13,572.38,34621.66
Aishaink XY-S e3-2017,,2449.22,33.56,34191.66
Aishaink XY-S e3-2107,,2342.56,109.44,34215.88
Aishaink YE-A e2426,,1244.19,184.69,33537.78
Aishaink ZJ-A e5982,,1810.25,443.03,33556.97
Aishaink ZP-X e1-1880,,1852.59,1065.34,33967.44
Aishaink ZZ-P e5-1822,,2347.75,611.84,34523.28
Aishainn DV-Y e20,,4626.88,544.38,33675.5
Aishainn EW-N e6-215,,4522.88,173.34,34702.19
Aishainn FG-Y e5497,,3993.44,123.47,33687.53
Aishainn MI-T e3-6728,,3892.66,359,34139.38
Aishainn RY-S e3-834,,4032.59,24.81,34272.81
Aishainn TZ-P e5-4471,,4040.78,509.94,34522.66
AISHAINN UO-A e5660,,3884.22,583.66,33545.22
Aishainn WY-S e3-3276,,4869.94,116.78,34146.06
Aishainn XE-R e4-75,,4357.84,65.47,34425.63
Aishainn XP-X e1-2986,,4060.72,1018.97,33940.84
Aishainn ZJ-A e384,,4297.66,329.5,33637.41
Aishaish BL-X e1-182,,517.72,794.28,33927.91
Aishaish EQ-Y e5911,,620.09,374.13,33810.06
Aishaish IR-N e6-10632,,1044.06,51.88,34753.16
Aishaish JB-X e1-8591,,1140.34,570.09,33835.31
Aishaish RI-B e1196,,776.22,1187.56,33554.06
Aishaish RS-U e2-96,,790.22,122.13,34067.09
Aishaish SD-T e3-3218,,636.06,200.66,34185.84
Aishaish VE-Q e5-80,,864.56,668.25,34566.47
Aishaish WY-A e847,,964,878.25,33514
Aishaism LS-T e3-8,,6856.97,694.41,34163.91
Aowriae HG-Y e2203,,569.69,1264.94,33771.69
Assaipy FA-A e18,,20007.47,43.84,34915.34
Athaihn AW-V e2-424,,1235.03,-280.81,22598.31
Athaihn CK-A e5322,,2273.81,-892.03,22047.94
Athaihn DB-X e1-5971,,1432.47,-734.88,22392
Athaihn EV-Y e431,,2230.22,-727.09,22146.41
Athaihn EV-Y e5143,,2332.88,-739.78,22207.66
Athaihn FG-X e1-9243,,2153.13,-593.88,22429.56
Athaihn HH-V e2-8388,,1514.25,-723.97,22608.97
Athaihn IH-V e2-3460,,1606.44,-762.03,22554.09
Athaihn LI-S e4-887,,1833.97,-243.56,22863.84
Athaihn NH-V e2-4954,,2363.91,-820.91,22539.84
Athaihn OT-R e4-6954,,1362.13,-666.09,22859.66
Athaihn PJ-Q e5-746,,1441.53,-446.72,23071.25
Athaihn QY-R e4-9676,,1924.56,-527,22897.91
Athaihn UJ-Q e5-552,,2177.5,-353.16,23091.88
Athaihn WO-A e9221,,1686.72,-749.09,22060.25
Athaip DW-N e6-3063,,511.84,-1020.88,23171.31
Athaip GL-Y e7400,,645.09,-1103.56,22250.06
Athaip PN-T e3-5188,,812.44,-749.38,22623.88
Athaip QD-S e4-12,,919.06,-499.03,22776
Athaip QN-T e3-2030,,940.97,-786.09,22751.06
Athaip QN-T e3-8082,,1000.59,-766.75,22714.66
Athaip TY-S e3-5853,,478.88,-1230.59,22627.56
Athaip YU-P e5-8031,,678.09,-899.19,23054.22
Athaip ZP-P e5-6688,,426.41,-1091.94,22967.63
Athair DH-U e3-54,,6509.84,-149.72,22661.81
Athair FB-X e1-139,,6853.47,-754.38,22309.59
Athair GG-X e1-1493,,7320.97,-624.06,22296.16
Athair RI-B e275,,7269.5,-79.81,22061.06
Athair SU-O e6-17,,6684.38,-246.59,23212.59
Athair ZE-Z e232,,7178.5,-407.91,22203.34
Athairk BQ-Y e2099,,2730.22,-886.03,22154.09
Athairk DG-O e6-6528,,3761,-705.63,23159.38
Athairk EC-U e3-186,,2627.25,-338.94,22748.91
Athairk HC-U e3-1709,,3077.09,-250.13,22679.09
Athairk JB-X e1-1309,,3736.97,-807.13,22419.06
Athairk MH-V e2-1078,,3560.88,-760.44,22557.09
Athairk PN-T e3-3267,,3446.28,-820.81,22617.31
Athairk TZ-P e5-10496,,2731.19,-810.09,23012
Aumaimy HR-N e6-82,,-12003.25,1260.28,21918.34
Aunaihm XE-Z e58,,-8498.59,2214.88,20915.28
Aunaihn IB-X e1-541,,-5354.09,1842.66,21070.88
Aunair AQ-P e5-2234,,-619.13,1562.66,21686.25
Aunair BB-O e6-1382,,-848.06,1722.22,21904.56
Aunair MI-S e4-126,,-622.69,2347.97,21580.03
Aunairm MH-V e2-658,,999.91,1773.34,21223.13
Aunairm VJ-R e4-2411,,431.44,1484.81,21605.44
Auphails QI-B e12,,3264.38,-119,50292.84
Auphairks AF-Z e2,,7407.03,-488.88,50356.5
Baukaae AB-O e6-497,,4252.5,315.34,29584.25
Baukaae BG-O e6-4362,,4707.88,589.31,29634.63
Baukaae BG-O e6-8605,,4685.75,553.03,29524.06
Baukaae GW-W e1-4352,,4112.72,296.5,28728.5
Baukaae HG-X e1-1397,,4901.66,659.38,28784.09
Baukaae JR-V e2-1321,,5014.53,928.47,28957.5
Baukaae NX-U e2-3870,,4257.59,276.81,28872.84
Baukaae OC-V e2-7688,,4867.72,384.84,28929.25
Baukaae TT-A e653,,4049.88,769.03,28534.44
Baukeau BA-A e6935,,5281.91,47.09,28426.88
Baukeau EL-P e5-4369,,6086.72,126.81,29472.63
Baukeau FA-A e8876,,5969.47,123.22,28428.44
Baukeau FV-Y e6523,,6294.09,607.63,28649.84
Baukeau GH-V e2-2506,,5206.22,497.47,28906.41
Baukeau GL-Y e7617,,5749.13,293.53,28657.44
Baukeau HW-V e2-1072,,6289.25,989.38,28948.25
Baukeau IC-V e2-1573,,5089.44,345.31,28987.13
Baukeau JW-W e1-9803,,5984.31,438.53,28761.13
Baukeau MC-V e2-3833,,5802.13,297.19,28967.97
Baukeau OC-V e2-6922,,6068.63,371.94,28913.97
Baukeau QD-S e4-325,,6058.66,797.09,29311.94
Baukeau VD-T e3-2839,,6179.84,271.78,29137.28
Baukeau WP-X e1-2123,,5190.91,1061,28772.38
Baukeau WP-X e1-5169,,5129.63,968.16,28737.53
Baukeau XE-Q e5-3536,,6246.94,617.41,29470.69
Baukeau ZJ-A e2165,,5669.03,388.22,28496.81
Baukeau ZJ-A e8007,,5577.97,342.91,28420.97
Baukeau ZZ-Y e4088,,5587.88,722.88,28634.22
Baukeau ZZ-Y e6751,,5559.78,630.34,28571.22
Baukee AB-O e6-3726,,6808.19,357.25,29628.28
Baukee AV-Y e3634,,6672.78,533.06,28645.03
Baukee EA-A e761,,7087.03,52.63,28440.94
Baukee FB-X e1-2545,,6824.69,498.78,28782.84
Baukee FL-P e5-142,,7511.66,25.88,29440.88
Baukee FR-N e6-6020,,6888.44,22.91,29606.53
Baukee KX-U e2-7195,,6454.03,198.19,28907.75
Baukee PS-U e2-1541,,6848.91,-11.22,28911.88
Baukee WY-S e3-6952,,7299.41,25.97,29071.84
Baukee XJ-A e9428,,6516.66,447,28394.66
Baukee XY-A e2862,,7590.63,913.25,28425.38
Baukee ZA-O e6-5584,,6645.84,414.47,29607.94
Baukoa CQ-Y e2052,,2865.56,368.94,28546.38
Baukoa CR-V e2-6258,,2542.81,828.06,29014.47
Baukoa EW-W e1-3233,,2523.22,336.47,28759.13
Baukoa HG-X e1-1630,,3688.75,642.09,28805.31
Baukoa QE-Q e5-2321,,2511.75,691.47,29400.75
Baukoa RO-R e4-2236,,2690.69,340.09,29272.31
Baukoa SY-S e3-1218,,2912.16,62.88,29044.03
Baukoa TS-U e2-1830,,3640.97,19.31,28925.97
Baukoa TY-R e4-9862,,3654.19,708.75,29277.03
Baukoa UT-R e4-6433,,3562,492.25,29213.5
Baukoa VE-Q e5-2946,,3312.13,697.59,29419.03
Baukoa VE-Q e5-5769,,3367,722.81,29425.56
Baukoa WO-R e4-1540,,3591.56,318.78,29266.72
Baukoa YK-X e1-1573,,2617.56,907.97,28722.31
Baukoa YU-P e5-1741,,3223.91,387.72,29376.97
Baukoa ZP-X e1-4334,,2994.81,1059.59,28814.63
Baulaa LG-Y e1,,13923.75,-16.88,28557.47
Baulae VO-R e4-0,,17413.91,415.97,29186.22
Bauloe FM-V e2-113,,7885.47,633.31,28911.91
Bauloe PX-U e2-52,,8417.03,162.28,28935.47
Bauloe QD-T e3-354,,7988.25,278.19,29078.13
Bauloe QY-R e4-645,,8353.34,773.06,29186.06
Blaa Eaec HH-U e3-4622,,-8165.31,-77.53,15038.75
Blaa Eaec HH-U e3-5767,,-8122.78,-146.25,14989.94
Blaa Eaec RI-B e4327,,-8215.72,-62.72,14431.06
Blaa Hypa LD-S e4-130,,-8858,-445.63,12642.66
Blaa Hypa OZ-O e6-248,,-8939.16,-54,12991.44
Blaa Hypa SZ-O e6-464,,-8331.22,-154.34,12976.59
Blaa Hypa VZ-O e6-566,,-7803.19,-98.81,12927.97
Blaa Hypa YA-W e2-364,,-8999.31,-28,12368.41
Blaa Hypa ZF-O e6-39,,-8449.81,-673.78,12881.38
Blaa Hypai DR-V e2-16,,1496.13,-397.97,12226.72
Blaa Phoe RO-Q e5-20,,-5585.03,-211.84,15380.5
Blaa Phoe XO-Z e171,,-5192.63,-138,14475.97
Blae Eaec AW-N e6-1375,,-2476.19,-1066.91,15430.38
Blae Eaec NT-Q e5-7621,,-2027.69,-42.25,15401.75
Blae Eaec PY-R e4-2300,,-2060.22,-598.22,15122.47
Blae Eaec QO-Z e335,,-2579.56,-49.09,14473.13
Blae Eaec UD-B e2836,,-1647.16,-248.03,14436.88
Blae Hypai WO-Z e6,,8584,-170.44,11912.03
Blae Phoe ND-S e4-274,,475.63,-493.88,15187.38
Blae Phoe SO-Q e5-3806,,897.56,-282.25,15331.03
Blae Phoe UU-O e6-3701,,715.63,-291.13,15498.84
Blaea Aip NX-U e2-3,,24790.94,182.59,14811.88
Blau Aescs UD-T e3-225,,-7968.59,152.84,12448.25
Blau Aescs WP-P e5-3333,,-8934.88,154.09,12769.28
Blau Aihm ER-N e6-302,,1599.53,83.13,15462.5
Blau Aihm HW-N e6-1951,,2354.53,225.5,15526.13
Blau Aihm KS-T e3-2193,,1615.44,659.13,14950.41
Blau Aihm SZ-P e5-108,,1342.69,523.88,15299.28
Blau Ais LM-W e1-34,,1815.66,1402.78,14679.22
Blau Chrea CG-O e6-3,,-5376.75,473.22,53972.56
Bleae Aescs FR-N e6-18,,-3295.41,100.19,12969.66
Bleae Aescs UY-S e3-66,,-3173.38,14.72,12425.88
Bleae Aescs WF-O e6-22,,-3833.19,510.16,12919.56
Bleae Aescs ZE-A e204,,-3599,285.91,11743.53
Bleae Thaa RY-S e3-17,,-3585.31,33.09,2139.38
Bleethai CH-U e3-248,,-6413.75,-181.81,38053.78
Bleethai TD-B e3254,,-5656.41,-219.5,37476.22
Bleethoae SU-O e6-245,,-2298.34,-298.72,38515.25
Bleethuae JN-S e4-175,,499.97,-79.56,38239.56
Bleia Flyuae DH-U e3-26,,-3676.53,-181.66,43236.09
Bleia Flyuae EB-W e2-1,,-2901.34,-162.34,42936.75
Bleia Phreia BQ-X e1-157,,-464.56,-1495.22,14754.63
Blie Airg EA-A e169,,-10842.34,130.88,14374.88
Blie Airg YP-O e6-42,,-10597.47,828,15427.38
Blie Phlue LX-U e2-14,,-21646.38,171.41,12289.91
Blo Aescs EM-V e2-119,,-7587.94,705.56,12282.97
Blo Aihm UY-S e3-92,,3201.88,-24.19,15042.34
Blo Air KH-V e2-53,,-7089.72,1757.03,14843.5
Blo Chroa UE-R e4-18,,5165.38,65.75,53585.94
Blo Chroa ZE-R e4-6,,5966.34,78.47,53517.5
Bloo Eaeb UY-A e8,,-25023.63,-389.75,14380.38
Blooe Dryue AQ-X e1-11,,-18593.75,-206.75,4390.63
