19 Phi-2 Ceti,"CMDR Ziljan recommends this tourist destination as ""A little known gem in an inhabited, ringed, Earth-like world, discovered in the heart of the human bubble, orbiting a blue ringed gas giant.""",-12.31,-49.22,-8.28
2MASS J02351897+6131236,This system was recommended as a must see destination by Commander Draco25240 for its bountiful collection of stars.,-4192.72,114.50,-4190.63
64 Piscium,"Commander Demilikos suggests this magnificent vista with multiple stars in close vicinity, and just a jump away from Lembava.",-44.84,-54.72,-29.13
69 Upsilon Tauri,"The 69 Upsilon Tauri system is a travel destination recommended by Commander Scott because of its array of stunning celestial features. It contains a number of stars, including a close binary of class A and G stars. / Perhaps most spectacular of all is the ninth ""moon"" of the fifth brown dwarf, which is a water world currently being terraformed. In this vast ocean there is an archipelago of islands.",-13.59,-45.97,-146.13
Achenar,"Achenar is the home system for the Empire, one of the interstellar superpowers. Its administrative capital is on Capitol, and is ruled by the current Emperor, Arissa Lavigny-Duval.",67.50,-119.47,24.84
Aisaills RP-N D7-231,"The renowned explorer, Commander Ozric, suggests that within this system you get the most amazing view of virtually all the companion stars stretching out above you.",198.47,-1825.34,14992.53
Alioth,"The Alliance of Independent Systems (usually referred to as just 'Alliance') was founded on Alioth in early 3230. Over the next two decades, more than twenty system went on to join. Some were independent, others revolted from Imperial and Federal control. For nearly a thousand years, colonial settlements could only choose between Imperial tyranny or Federal interference. Alioth and the Alliance provided a third way, more supportive and less conditional on cultural alignment.",-33.66,72.47,-20.66
Apam Napat,Commander Darius Torkalar recommends this tourist destination for its rare and beautiful ringed binary planets.,10.09,-90.47,-0.72
Aucoks OH-D B18-3,This rare treasure of an ammonia planet with a ring system was suggested by Commander Arkadi Kreven.,-47.72,-161.00,1884.00
BD+22 3878,"Commander 5Paxxor states this beautiful system, located inside the Dumbbell Nebula, has a lot to offer. As well as a landable planet and two landable moons, it also contains a terraforming candidate! By far the biggest attraction is the waterworld that offers a stunning view of the stellar nebula istself.",-958.22,-71.00,535.50
Betelgeuse,This giant star is a favourite destination for Commander Rebecca Lansing. The scale of this star has to be seen in person to be truly appreciated.,169.41,-72.50,-462.63
Betelgeuse,"Lava worlds are often places of great beauty, and this one orbits close to one of the largest known stars. Commander GTR 2014 rates this as a great location for celestial sightseeing.",169.41,-72.50,-462.63
Blaa Hypai KN-S E4-92,Commander Grievstar chose this destination for the amazing views of the twin binary stars in this distant system.,1876.56,-157.78,12568.59
BLAE EAEC PM-W E1-205,"This ringed Earth-like planet is the only body rotating around this neutron star. Commander Dragongard states that because it is hard to find, it's one of the few places humanity could hide if there was ever a danger of extinction.",-1417.94,-1245.06,14765.09
CD-26 1339,"In Commander Alex Traut's opinion, when it comes to near-bubble tourist spots, one of the most scenic is CD-26 1339. Its location at the heart of a planetary nebula provides some of the most amazing views found anywhere.",437.22,-925.16,-513.78
CD-39 6137,"Commander Expugnax shared his opinions on this remarkable tourist destination - ""Don't miss the amazing views of Barnard's Loop and the other stunning nebulae in this region of space. CD-39 6137 also contains a large number of landable moons and many fine ringed planets, including two incredible ringed stellar dwarves, giving off a soft warming glow to their accompanying moons.""",2049.63,450.94,75.16
Cheae Euq ER-L c21-0,An enthusiastic Commander Rojo Habe declares that this spot is so far off the beaten track that it promises to be the trip of a lifetime! He promises that this will be one of the grandest ring systems you will ever see.,694.25,22.13,61314.28
Choomuia UI-K D8-4692,"Here's what Commander Newman1702 says about his beauty spot: ""This curious ringed Earth-like moon orbits a local brown dwarf. It shares its orbit with three other small moons, and you can clearly see the brown dwarf through the rings here.""",-6721.84,125.63,25326.38
Col 285 Sector JM-A b15-7,Commander Bier00t declares this tourist destination as one of rare water worlds where there is actually some land. It is famed for its single massive ocean and complex weather systems in the dense atmosphere.,124.31,-0.19,-31.19
